"Domaine de formation","Canton de l'entreprise formatrice","Type de formation","Mode d'enseignement","Sexe","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Techniques audiovisuelles et production multimédia","Basel-Landschaft","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Basel-Landschaft","CFC","Dual","Sexe - total",65,58,61,64,53,51,36,39,49,56
"Techniques audiovisuelles et production multimédia","Basel-Landschaft","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Basel-Landschaft","AFP","Dual","Sexe - total",0,0,0,0,0,1,1,2,2,3
"Techniques audiovisuelles et production multimédia","Schaffhausen","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Schaffhausen","CFC","Dual","Sexe - total",54,56,57,54,56,56,63,62,64,61
"Techniques audiovisuelles et production multimédia","Schaffhausen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Schaffhausen","AFP","Dual","Sexe - total",2,1,0,0,0,1,1,1,2,2
"Techniques audiovisuelles et production multimédia","Appenzell Ausserrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Appenzell Ausserrhoden","CFC","Dual","Sexe - total",18,17,16,15,17,16,21,20,24,23
"Techniques audiovisuelles et production multimédia","Appenzell Ausserrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Appenzell Ausserrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Appenzell Innerrhoden","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Appenzell Innerrhoden","CFC","Dual","Sexe - total",5,8,7,8,6,5,6,7,9,9
"Techniques audiovisuelles et production multimédia","Appenzell Innerrhoden","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Appenzell Innerrhoden","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","St. Gallen","CFC","Plein temps en école","Sexe - total",43,47,46,42,43,45,45,45,45,45
"Techniques audiovisuelles et production multimédia","St. Gallen","CFC","Dual","Sexe - total",232,242,249,242,243,226,226,207,193,181
"Techniques audiovisuelles et production multimédia","St. Gallen","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","St. Gallen","AFP","Dual","Sexe - total",11,14,15,15,13,11,8,9,10,11
"Techniques audiovisuelles et production multimédia","Graubünden / Grigioni / Grischun","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Graubünden / Grigioni / Grischun","CFC","Dual","Sexe - total",78,86,83,84,80,74,68,70,65,67
"Techniques audiovisuelles et production multimédia","Graubünden / Grigioni / Grischun","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Graubünden / Grigioni / Grischun","AFP","Dual","Sexe - total",2,2,1,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Aargau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Aargau","CFC","Dual","Sexe - total",228,225,215,207,220,188,198,207,222,246
"Techniques audiovisuelles et production multimédia","Aargau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Aargau","AFP","Dual","Sexe - total",9,12,13,11,13,13,9,11,10,9
"Techniques audiovisuelles et production multimédia","Thurgau","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Thurgau","CFC","Dual","Sexe - total",200,191,190,192,179,183,177,179,176,167
"Techniques audiovisuelles et production multimédia","Thurgau","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Thurgau","AFP","Dual","Sexe - total",8,7,3,8,6,10,7,6,8,10
"Techniques audiovisuelles et production multimédia","Ticino","CFC","Plein temps en école","Sexe - total",66,74,79,79,84,85,83,84,88,92
"Techniques audiovisuelles et production multimédia","Ticino","CFC","Dual","Sexe - total",78,81,82,75,72,65,62,60,59,62
"Techniques audiovisuelles et production multimédia","Ticino","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Ticino","AFP","Dual","Sexe - total",1,1,0,2,2,1,0,1,1,0
"Techniques audiovisuelles et production multimédia","Vaud","CFC","Plein temps en école","Sexe - total",483,473,499,486,500,496,497,493,499,478
"Techniques audiovisuelles et production multimédia","Vaud","CFC","Dual","Sexe - total",203,177,182,194,204,220,220,235,246,228
"Techniques audiovisuelles et production multimédia","Vaud","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Vaud","AFP","Dual","Sexe - total",4,4,3,7,6,3,3,1,0,3
"Techniques audiovisuelles et production multimédia","Valais / Wallis","CFC","Plein temps en école","Sexe - total",129,120,126,119,121,120,131,126,127,122
"Techniques audiovisuelles et production multimédia","Valais / Wallis","CFC","Dual","Sexe - total",136,145,128,116,109,106,103,110,113,103
"Techniques audiovisuelles et production multimédia","Valais / Wallis","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Valais / Wallis","AFP","Dual","Sexe - total",2,2,2,1,1,0,1,0,1,1
"Techniques audiovisuelles et production multimédia","Neuchâtel","CFC","Plein temps en école","Sexe - total",125,136,139,138,132,137,140,140,146,149
"Techniques audiovisuelles et production multimédia","Neuchâtel","CFC","Dual","Sexe - total",31,29,31,36,37,47,54,57,55,52
"Techniques audiovisuelles et production multimédia","Neuchâtel","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Neuchâtel","AFP","Dual","Sexe - total",0,1,1,1,0,1,1,1,0,0
"Techniques audiovisuelles et production multimédia","Genève","CFC","Plein temps en école","Sexe - total",182,193,178,162,161,169,156,161,151,133
"Techniques audiovisuelles et production multimédia","Genève","CFC","Dual","Sexe - total",58,50,52,56,56,78,106,114,121,135
"Techniques audiovisuelles et production multimédia","Genève","AFP","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Genève","AFP","Dual","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Jura","CFC","Plein temps en école","Sexe - total",0,0,0,0,0,0,0,0,0,0
"Techniques audiovisuelles et production multimédia","Jura","CFC","Dual","Sexe - total",5,9,7,8,5,2,1,3,5,4
